input;input_size_kb;avif_output;avif_size_kb;avif_saving_kb;avif_saving_percent;webp_output;webp_size_kb;webp_saving_kb;webp_saving_percent
C:\MyTrainingPlace\website-hotel-roessle\images\bett_und_bike_logo.svg;5.88;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\bett_und_bike_logo.avif;3.71;2.17;36.92;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\bett_und_bike_logo.webp;4.41;1.47;25.06
C:\MyTrainingPlace\website-hotel-roessle\images\dehoga.jpg;10.45;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\dehoga.avif;3.86;6.59;63.08;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\dehoga.webp;3.73;6.72;64.29
C:\MyTrainingPlace\website-hotel-roessle\images\home_hotelroessle.jpg;380.25;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\home_hotelroessle.avif;59.12;321.12;84.45;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\home_hotelroessle.webp;58.62;321.62;84.58
C:\MyTrainingPlace\website-hotel-roessle\images\home_roessle4.jpg;315.56;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\home_roessle4.avif;40.04;275.52;87.31;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\home_roessle4.webp;39.2;276.35;87.58
C:\MyTrainingPlace\website-hotel-roessle\images\logo.png;125.17;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\logo.avif;11.13;114.04;91.11;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\logo.webp;12.39;112.78;90.1
C:\MyTrainingPlace\website-hotel-roessle\images\logo_hotel_roessle.png;53.12;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\logo_hotel_roessle.avif;25.3;27.82;52.37;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\logo_hotel_roessle.webp;9.31;43.81;82.47
C:\MyTrainingPlace\website-hotel-roessle\images\events\event_roessle1.jpg;393.36;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle1.avif;57.12;336.24;85.48;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle1.webp;57.84;335.52;85.3
C:\MyTrainingPlace\website-hotel-roessle\images\events\event_roessle2.jpg;364.52;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle2.avif;54.19;310.33;85.14;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle2.webp;53.2;311.32;85.41
C:\MyTrainingPlace\website-hotel-roessle\images\events\event_roessle3.jpg;360.08;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle3.avif;48.68;311.4;86.48;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle3.webp;47.45;312.63;86.82
C:\MyTrainingPlace\website-hotel-roessle\images\events\event_roessle4.jpg;348.3;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle4.avif;50.27;298.03;85.57;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\events\event_roessle4.webp;49.19;299.11;85.88
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Bootsgelände_small.jpg;72.1;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Bootsgelände_small.avif;21.81;50.29;69.75;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Bootsgelände_small.webp;9.43;62.67;86.92
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Burgruine_big.jpg;562.44;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Burgruine_big.avif;110.96;451.48;80.27;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Burgruine_big.webp;116.4;446.04;79.31
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Burgruine_small.jpg;117.26;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Burgruine_small.avif;32.3;84.96;72.46;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Burgruine_small.webp;18.63;98.62;84.11
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Donaubergland_big.jpg;350.03;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Donaubergland_big.avif;40.03;310.0;88.57;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Donaubergland_big.webp;38.25;311.78;89.07
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Donaubergland_small.jpg;79.69;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Donaubergland_small.avif;18.81;60.88;76.4;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Donaubergland_small.webp;7.82;71.87;90.19
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_donauversickerung_small.jpg;118.62;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_donauversickerung_small.avif;34.27;84.36;71.11;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_donauversickerung_small.webp;20.62;98.01;82.62
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Freilichtmuseum_small.jpg;101.87;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Freilichtmuseum_small.avif;29.18;72.69;71.35;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Freilichtmuseum_small.webp;16.1;85.78;84.2
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Freizeitbad_big.jpg;429.65;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Freizeitbad_big.avif;67.96;361.69;84.18;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Freizeitbad_big.webp;67.65;362.0;84.26
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Freizeitbad_small.jpg;93.05;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Freizeitbad_small.avif;24.83;68.22;73.32;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Freizeitbad_small.webp;12.16;80.89;86.93
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_Naturpark_small.jpg;79.8;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Naturpark_small.avif;19.65;60.15;75.38;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_Naturpark_small.webp;8.41;71.4;89.47
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_stadtmitte_big.jpg;459.17;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_stadtmitte_big.avif;105.03;354.13;77.13;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_stadtmitte_big.webp;101.87;357.29;77.81
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\ausflugsziel_stadtmitte_small.jpg;88.0;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_stadtmitte_small.avif;26.54;61.46;69.84;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\ausflugsziel_stadtmitte_small.webp;12.63;75.38;85.65
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\donauwellen.jpg;52.91;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\donauwellen.avif;16.49;36.42;68.84;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\donauwellen.webp;5.49;47.42;89.63
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\donauwellen_big.jpg;252.7;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\donauwellen_big.avif;39.4;213.3;84.41;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\donauwellen_big.webp;25.2;227.5;90.03
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle1.jpg;299.7;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle1.avif;30.9;268.8;89.69;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle1.webp;30.02;269.69;89.98
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle2.jpg;259.73;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle2.avif;29.2;230.52;88.76;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle2.webp;24.79;234.93;90.45
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle4.jpg;273.8;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle4.avif;27.53;246.28;89.95;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle4.webp;24.55;249.25;91.03
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle_5.jpg;247.3;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle_5.avif;21.88;225.42;91.15;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle_5.webp;17.55;229.75;92.9
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\Zimmer_DZ_small.jpg;58.05;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_DZ_small.avif;16.98;41.08;70.76;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_DZ_small.webp;5.57;52.48;90.4
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\Zimmer_EZ_small.jpg;62.08;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_EZ_small.avif;15.24;46.84;75.45;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_EZ_small.webp;4.99;57.09;91.97
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\Zimmer_FZ_small.jpg;68.24;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_FZ_small.avif;18.4;49.85;73.04;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_FZ_small.webp;6.7;61.54;90.18
;;;;;;;;;
GESAMT;6482.88;;;5382.08;83.02;;;5572.71;85.96
